,Rank,Company,CEO,Female,NameNoSpaces,FullName
351,352,Westlake Chemical,Albert Yuan Chao,0,AlbertYuanChao,Albert Yuan Chao
352,353,Williams,Alan Armstrong,0,AlanArmstrong,Alan S. Armstrong
353,354,Lam Research,Martin Anstice,0,MartinAnstice,Martin B. Anstice
354,355,Alaska Air Group,Bradley Tilden,0,BradleyTilden,Bradley D. Tilden
355,356,Jones Lang LaSalle,Christian Ulbrich,0,ChristianUlbrich,Christian Ulbrich
356,357,Anixter International,Robert Eck,0,RobertEck,Robert J. Eck
357,358,Campbell Soup,Denise Morrison,0,DeniseMorrison,Denise M. Morrison
358,359,Interpublic Group,Michael Roth,0,MichaelRoth,Michael I. Roth
359,360,Dover,Richard Tobin,0,RichardTobin,Richard J. Tobin
360,361,Zimmer Biomet Holdings,Bryan Hanson,0,BryanHanson,Bryan C. Hanson
361,362,Dean Foods,Ralph Scozzafava,0,RalphScozzafava,Ralph P. Scozzafava
362,363,Foot Locker,Richard Johnson,0,RichardJohnson,Richard A. Johnson
363,364,Eversource Energy,James Judge,0,JamesJudge,James J. Judge
364,365,Alliance Data Systems,Edward Heffernan,0,EdwardHeffernan,Edward J. Heffernan
365,366,Fifth Third Bancorp,Greg Carmichael,0,GregCarmichael,Greg D. Carmichael
366,367,Quest Diagnostics,Stephen Rusckowski,0,StephenRusckowski,Stephen H. Rusckowski
367,368,EMCOR Group,Anthony Guzzi,0,AnthonyGuzzi,Anthony J. Guzzi
368,369,W.R. Berkley,Robert Berkley ,0,RobertBerkley,W. Robert Berkley Jr.
369,370,WESCO International,John Engel,0,JohnEngel,John J. Engel
370,371,Coty,Camillo Pane,0,CamilloPane,Camillo Pane
371,372,WEC Energy Group,Gale Klappa,0,GaleKlappa,Gale E. Klappa
372,373,Masco,Keith Allman,0,KeithAllman,Keith J. Allman
373,374,DXC Technology,Michael Lawrie,0,MichaelLawrie,J. Michael Lawrie
374,375,Auto-Owners Insurance,Jeffrey Tagsold,0,JeffreyTagsold,Jeffrey S. Tagsold
375,376,Jones Financial (Edward Jones),Penny Pennington,1,PennyPennington,Penny Pennington
376,377,Liberty Media,Gregory Maffei,0,GregoryMaffei,Gregory B. Maffei
377,378,Erie Insurance Group,Timothy NeCastro,0,TimothyNeCastro,Timothy G. NeCastro
378,379,Hershey,Michele Buck,1,MicheleBuck,Michele Buck
379,380,PPL,William Spence,0,WilliamSpence,William H. Spence
380,381,Huntington Ingalls Industries,Michael Petters,0,MichaelPetters,C. Michael Petters
381,382,Mosaic,James O'Rourke,0,JamesO'Rourke,James C. O'Rourke
382,383,J.M. Smucker,Mark Smucker,0,MarkSmucker,Mark T. Smucker
383,384,Delek US Holdings,Ezra Uzi Yemin,0,EzraUziYemin,Ezra Uzi Yemin
384,385,Newmont Mining,Gary Goldberg,0,GaryGoldberg,Gary J. Goldberg
385,386,Constellation Brands,Robert Sands,0,RobertSands,Robert S. Sands
386,387,Ryder System,Robert Sanchez,0,RobertSanchez,Robert E. Sanchez
387,388,National Oilwell Varco,Clay Williams,0,ClayWilliams,Clay C. Williams
388,389,Adobe Systems,Shantanu Narayen,0,ShantanuNarayen,Shantanu Narayen
389,390,LifePoint Health,William Carpenter I,0,WilliamCarpenterI,William F. Carpenter III
390,391,Tractor Supply,Gregory Sandfort,0,GregorySandfort,Gregory A. Sandfort
391,392,Thor Industries,Robert Martin,0,RobertMartin,Robert W. Martin
392,393,Dana,James Kamsickas,0,JamesKamsickas,James K. Kamsickas
393,394,Weyerhaeuser,Doyle Simons,0,DoyleSimons,Doyle R. Simons
394,395,J.B. Hunt Transport Services,John Roberts I,0,JohnRobertsI,John N. Roberts III
395,396,Darden Restaurants,Eugene Lee ,0,EugeneLee,Eugene I. Lee Jr.
396,397,Yum China Holdings,Joey Wat,1,JoeyWat,Joey Wat
397,398,Blackstone Group,Stephen Schwarzman,0,StephenSchwarzman,Stephen A. Schwarzman
398,399,Berry Global Group,Thomas Salmon,0,ThomasSalmon,Thomas E. Salmon
399,400,Builders FirstSource,Chad Crow,0,ChadCrow,M. Chad Crow
400,401,Activision Blizzard,Robert Kotick,0,RobertKotick,Robert A. Kotick
401,402,JetBlue Airways,Robin Hayes,0,RobinHayes,Robin Hayes
402,403,Amphenol,Adam Norwitt,0,AdamNorwitt,R. Adam Norwitt
403,404,A-Mark Precious Metals,Gregory Roberts,0,GregoryRoberts,Gregory N. Roberts
404,405,Spirit AeroSystems Holdings,Thomas Gentile I,0,ThomasGentileI,Thomas C. Gentile III
405,406,R.R. Donnelley & Sons,Daniel Knotts,0,DanielKnotts,Daniel L. Knotts
406,407,Harris,William Brown,0,WilliamBrown,William M. Brown
407,408,Expeditors Intl. of Washington,Jeffrey Musser,0,JeffreyMusser,Jeffrey S. Musser
408,409,Discovery,David Zaslav,0,DavidZaslav,David M. Zaslav
409,410,Owens-Illinois,Andres Lopez,0,AndresLopez,Andres A. Lopez
410,411,Sanmina,Robert Eulau,0,RobertEulau,Robert K. Eulau
411,412,KeyCorp,Beth Mooney,1,BethMooney,Beth Mooney
412,413,American Financial Group,Carl Lindner lll/Craig Lindner,0,CarlLindnerlll/CraigLindner,Carl H. Lindner lll/S. Craig Lindner
413,414,Oshkosh,Wilson Jones,0,WilsonJones,Wilson R. Jones
414,415,Rockwell Collins,Robert Ortberg,0,RobertOrtberg,Robert K. Ortberg
415,416,Kindred Healthcare,Benjamin Breier,0,BenjaminBreier,Benjamin A. Breier
416,417,Insight Enterprises,Kenneth Lamneck,0,KennethLamneck,Kenneth T. Lamneck
417,418,Dr Pepper Snapple Group,Larry Young,0,LarryYoung,Larry D. Young
418,419,American Tower,James Taiclet ,0,JamesTaiclet,James D. Taiclet Jr.
419,420,Fortive,James Lico,0,JamesLico,James A. Lico
420,421,Ralph Lauren,Patrice Louvet,0,PatriceLouvet,Patrice Louvet
421,422,HRG Group,Joseph Steinberg,0,JosephSteinberg,Joseph S. Steinberg
422,423,Ascena Retail Group,David Jaffe,0,DavidJaffe,David R. Jaffe
423,424,United Rentals,Michael Kneeland,0,MichaelKneeland,Michael J. Kneeland
424,425,Caseys General Stores,Terry Handley,0,TerryHandley,Terry W. Handley
425,426,Graybar Electric,Kathleen Mazzarella,1,KathleenMazzarella,Kathleen Mazzarella
426,427,Avery Dennison,Mitchell Butier,0,MitchellButier,Mitchell R. Butier
427,428,MasTec,Jose Mas,0,JoseMas,Jose R. Mas
428,429,CMS Energy,Patti Poppe,1,PattiPoppe,Patti Poppe
429,430,HD Supply Holdings,Joseph DeAngelo,0,JosephDeAngelo,Joseph J. DeAngelo
430,431,Raymond James Financial,Paul Reilly,0,PaulReilly,Paul C. Reilly
431,432,NCR,Michael Hayford,0,MichaelHayford,Michael D. Hayford
432,433,Hanesbrands,Gerald Evans ,0,GeraldEvans,Gerald W. Evans Jr.
433,434,Asbury Automotive Group,David Hult,0,DavidHult,David W. Hult
434,435,Citizens Financial Group,Bruce Van Saun,0,BruceVanSaun,Bruce W. Van Saun
435,436,Packaging Corp. of America,Mark Kowlzan,0,MarkKowlzan,Mark W. Kowlzan
436,437,Alleghany,Weston Hicks,0,WestonHicks,Weston M. Hicks
437,438,Apache,John Christmann ,0,JohnChristmann,John J. Christmann IV
438,439,Dillards,William Dillard ,0,WilliamDillard,William T. Dillard II
439,440,Assurant,Alan Colberg,0,AlanColberg,Alan B. Colberg
440,441,Franklin Resources,Gregory Johnson,0,GregoryJohnson,Gregory E. Johnson
441,442,Owens Corning,Michael Thaman,0,MichaelThaman,Michael H. Thaman
442,443,Motorola Solutions,Gregory Brown,0,GregoryBrown,Gregory Q. Brown
443,444,NVR,Paul Saville,0,PaulSaville,Paul C. Saville
444,445,Rockwell Automation,Blake Moret,0,BlakeMoret,Blake D. Moret
445,446,TreeHouse Foods,Steven Oakland,0,StevenOakland,Steven Oakland
446,447,Wynn Resorts,Matthew Maddox,0,MatthewMaddox,Matthew O. Maddox
447,448,Olin,John Fischer,0,JohnFischer,John E. Fischer
448,449,American Axle & Manufacturing,David Dauch,0,DavidDauch,David C. Dauch
449,450,Old Republic International,Aldo Zucaro,0,AldoZucaro,Aldo C. Zucaro
